,IndicatorName
0,Access to electricity (% of population)
1,Access to non-solid fuel (% of population)
2,"Adjusted net enrolment rate, primary, both sexes (%)"
3,Adjusted net national income (annual % growth)
4,Adjusted net national income (constant 2005 US$)
5,Adjusted net national income per capita (annual % growth)
6,Adjusted net national income per capita (constant 2005 US$)
7,"Adjusted net savings, excluding particulate emission damage (% of GNI)"
8,"Adjusted net savings, including particulate emission damage (% of GNI)"
9,Adjusted savings: carbon dioxide damage (% of GNI)
10,Adjusted savings: consumption of fixed capital (% of GNI)
11,Adjusted savings: education expenditure (% of GNI)
12,Adjusted savings: energy depletion (% of GNI)
13,Adjusted savings: gross savings (% of GNI)
14,Adjusted savings: mineral depletion (% of GNI)
15,Adjusted savings: natural resources depletion (% of GNI)
16,Adjusted savings: net forest depletion (% of GNI)
17,Adjusted savings: net national savings (% of GNI)
18,Adjusted savings: particulate emission damage (% of GNI)
19,"Adolescent fertility rate (births per 1,000 women ages 15-19)"
20,"Adult literacy rate, population 15+ years, both sexes (%)"
21,Age dependency ratio (% of working-age population)
22,"Age dependency ratio, old (% of working-age population)"
23,"Age dependency ratio, young (% of working-age population)"
24,Agricultural irrigated land (% of total agricultural land)
25,Agricultural land (% of land area)
26,Agricultural land (sq. km)
27,"Agricultural machinery, tractors"
28,"Agricultural machinery, tractors per 100 sq. km of arable land"
29,Agricultural raw materials exports (% of merchandise exports)
30,Agricultural raw materials imports (% of merchandise imports)
31,Agriculture value added per worker (constant 2005 US$)
32,"Agriculture, value added (% of GDP)"
33,"Agriculture, value added (annual % growth)"
34,"Agriculture, value added (constant 2005 US$)"
35,Alternative and nuclear energy (% of total energy use)
36,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)"
37,"Annualized average growth rate in per capita real survey mean consumption or income, total population (%)"
38,Arable land (% of land area)
39,"Armed forces personnel, total"
40,Arms exports (SIPRI trend indicator values)
41,Arms imports (SIPRI trend indicator values)
42,"Automated teller machines (ATMs) (per 100,000 adults)"
43,Average precipitation in depth (mm per year)
44,Average time to clear exports through customs (days)
45,Bank capital to assets ratio (%)
46,Bank nonperforming loans to total gross loans (%)
47,Battle-related deaths (number of people)
48,"Binding coverage, all products (%)"
49,"Binding coverage, manufactured products (%)"
50,"Binding coverage, primary products (%)"
51,"Bound rate, simple mean, all products (%)"
52,"Bound rate, simple mean, manufactured products (%)"
53,"Bound rate, simple mean, primary products (%)"
54,"Burden of customs procedure, WEF (1=extremely inefficient to 7=extremely efficient)"
55,Business extent of disclosure index (0=less disclosure to 10=more disclosure)
56,Cash surplus/deficit (% of GDP)
